Hz,175n,175m,175S,175Son
140.5,5.356154e-10,3.787244e-10,3.016375e-10,3.339501e-10
141.0,5.36913e-10,3.433737e-10,3.109346e-10,3.038994e-10
141.5,5.373836e-10,3.41749e-10,2.983798e-10,2.670763e-10
142.0,5.006711e-10,3.825912e-10,2.833343e-10,2.986972e-10
142.5,4.885976e-10,3.785348e-10,2.694622e-10,2.959156e-10
143.0,5.528309e-10,3.599508e-10,3.105221e-10,2.765806e-10
143.5,5.804664e-10,3.898657e-10,3.814616e-10,2.857151e-10
144.0,6.031675e-10,4.562454e-10,3.599429e-10,2.900619e-10
144.5,5.717365e-10,4.577183e-10,3.548908e-10,3.360904e-10
145.0,5.803332e-10,4.129947e-10,3.824027e-10,3.61424e-10
145.5,5.805495e-10,4.745143e-10,3.881721e-10,3.657431e-10
146.0,6.014012e-10,4.927059e-10,3.32141e-10,3.542807e-10
146.5,6.754894e-10,5.979967e-10,3.293618e-10,3.769688e-10
147.0,5.161261e-10,5.834101e-10,4.010361e-10,4.220802e-10
147.5,5.215733e-10,5.474479e-10,4.224064e-10,4.150897e-10
148.0,5.846615e-10,5.008866e-10,3.812805e-10,3.752579e-10
148.5,5.79335e-10,4.899181e-10,3.999766e-10,3.637922e-10
149.0,5.871665e-10,4.953077e-10,4.566885e-10,4.144665e-10
149.5,5.399682e-10,5.949821e-10,5.04232e-10,3.659982e-10
150.0,5.027552e-10,5.484537e-10,4.773632e-10,4.15042e-10
150.5,5.103442e-10,5.308559e-10,4.365016e-10,4.800275e-10
151.0,5.065143e-10,5.624261e-10,4.717105e-10,4.593971e-10
151.5,5.049181e-10,5.281527e-10,5.552055e-10,4.222308e-10
152.0,4.854516e-10,6.412726e-10,5.133877e-10,4.696264e-10
152.5,4.892023e-10,5.447505e-10,5.134589e-10,5.583251e-10
153.0,4.059922e-10,5.21753e-10,5.952461e-10,5.315177e-10
153.5,3.515837e-10,5.660082e-10,6.082743e-10,5.00065e-10
154.0,3.600318e-10,5.265606e-10,5.61762e-10,4.920356e-10
154.5,3.603178e-10,5.722077e-10,5.528039e-10,4.713452e-10
155.0,3.653249e-10,5.161085e-10,6.667893e-10,4.540713e-10
155.5,3.382671e-10,4.547743e-10,6.866693e-10,4.774856e-10
156.0,2.781447e-10,5.169207e-10,6.412138e-10,5.526301e-10
156.5,2.638342e-10,5.081069e-10,4.816972e-10,4.722968e-10
157.0,2.797954e-10,4.959011e-10,4.824885e-10,4.887057e-10
157.5,3.292919e-10,4.724428e-10,5.162821e-10,5.732609e-10
158.0,3.04606e-10,4.343449e-10,6.077823e-10,6.280578e-10
158.5,3.0431e-10,4.337602e-10,5.60815e-10,5.138465e-10
159.0,2.95955e-10,4.084861e-10,5.773566e-10,4.425707e-10
159.5,2.436947e-10,4.022311e-10,5.586349e-10,5.339383e-10
160.0,2.478432e-10,3.41751e-10,4.758481e-10,5.269764e-10
160.5,2.691171e-10,3.277952e-10,4.167588e-10,4.984855e-10
161.0,2.810756e-10,3.399716e-10,4.18174e-10,5.56534e-10
161.5,2.894045e-10,4.16585e-10,4.613381e-10,4.853171e-10
162.0,2.679372e-10,4.111746e-10,4.291569e-10,5.072798e-10
162.5,2.544528e-10,3.367691e-10,4.711265e-10,5.17096e-10
163.0,2.291512e-10,4.147251e-10,3.992899e-10,5.261415e-10
163.5,2.308274e-10,3.658705e-10,3.321533e-10,4.602302e-10
164.0,2.242967e-10,2.864992e-10,3.395156e-10,4.259042e-10
164.5,2.417714e-10,3.019085e-10,3.498722e-10,3.86001e-10
165.0,2.368936e-10,2.629596e-10,3.370717e-10,3.665088e-10
165.5,2.266673e-10,2.729298e-10,3.060824e-10,3.541291e-10
166.0,2.243018e-10,2.880362e-10,3.105723e-10,3.703922e-10
166.5,2.310115e-10,2.952537e-10,2.964394e-10,3.571267e-10
167.0,2.417546e-10,2.768024e-10,2.870792e-10,4.02988e-10
167.5,2.392586e-10,2.40401e-10,2.86006e-10,3.759124e-10
168.0,2.480523e-10,2.322887e-10,3.063938e-10,2.823406e-10
168.5,2.804571e-10,2.501038e-10,2.632283e-10,3.046013e-10
169.0,2.658448e-10,2.849489e-10,2.30152e-10,3.597181e-10
169.5,2.476606e-10,2.906781e-10,2.168823e-10,3.439794e-10
170.0,2.462778e-10,2.509084e-10,2.424126e-10,3.216467e-10
170.5,2.435118e-10,2.258076e-10,2.656576e-10,2.456703e-10
171.0,2.51991e-10,2.30895e-10,2.706121e-10,2.576082e-10
171.5,2.159871e-10,2.341183e-10,2.83206e-10,2.744448e-10
172.0,2.009674e-10,2.533518e-10,2.641739e-10,2.271435e-10
172.5,2.117919e-10,2.314286e-10,2.317989e-10,2.721144e-10
173.0,2.248154e-10,2.443085e-10,2.098873e-10,2.723766e-10
173.5,2.362261e-10,1.986683e-10,2.384898e-10,2.477736e-10
174.0,2.637164e-10,2.074694e-10,2.130413e-10,2.674514e-10
174.5,2.316718e-10,2.427082e-10,2.206654e-10,2.631362e-10
175.0,2.411384e-10,2.376481e-10,2.37015e-10,2.465835e-10
175.5,2.172588e-10,2.298724e-10,2.243691e-10,2.120964e-10
176.0,2.162939e-10,2.269626e-10,2.04333e-10,1.993172e-10
176.5,2.403076e-10,2.189256e-10,2.119998e-10,2.149949e-10
177.0,2.564199e-10,2.160485e-10,2.289576e-10,2.282669e-10
177.5,2.228899e-10,2.143405e-10,2.133979e-10,2.557869e-10
178.0,2.23738e-10,2.272645e-10,1.836276e-10,2.443801e-10
178.5,2.162241e-10,2.330181e-10,2.198263e-10,2.173714e-10
179.0,2.159971e-10,2.370262e-10,2.208237e-10,1.883572e-10
179.5,2.130986e-10,2.08144e-10,2.231616e-10,2.250974e-10
180.0,2.184702e-10,2.106725e-10,2.158612e-10,2.170379e-10
180.5,1.90847e-10,2.241586e-10,2.185101e-10,2.472854e-10
181.0,2.16827e-10,2.022126e-10,2.361846e-10,2.466378e-10
181.5,2.302223e-10,2.01503e-10,2.31656e-10,2.060459e-10
182.0,2.319909e-10,1.925166e-10,2.506892e-10,2.038735e-10
182.5,2.067007e-10,2.032324e-10,2.405436e-10,2.422846e-10
183.0,2.194886e-10,2.014531e-10,2.462075e-10,2.490003e-10
183.5,2.293657e-10,1.943311e-10,2.486093e-10,2.433723e-10
184.0,1.994011e-10,1.965625e-10,2.213932e-10,2.162201e-10
184.5,1.899777e-10,1.902365e-10,2.434897e-10,2.185042e-10
185.0,2.205353e-10,1.741447e-10,2.397423e-10,2.012403e-10
185.5,2.557629e-10,1.931089e-10,2.283172e-10,2.042006e-10
186.0,2.297445e-10,2.306921e-10,2.035877e-10,2.1901e-10
186.5,2.063301e-10,2.075586e-10,2.123885e-10,2.090944e-10
187.0,1.882779e-10,2.04542e-10,2.022628e-10,2.129012e-10
187.5,1.957046e-10,2.208449e-10,1.802524e-10,2.015803e-10
188.0,1.913808e-10,2.338115e-10,1.674325e-10,1.998324e-10
188.5,1.995857e-10,2.071921e-10,1.994727e-10,1.930919e-10
189.0,2.1801e-10,2.013133e-10,2.005285e-10,1.932661e-10
189.5,2.034734e-10,2.254054e-10,1.874527e-10,2.007901e-10
190.0,1.982185e-10,2.14531e-10,2.312136e-10,2.107441e-10
190.5,1.774122e-10,2.050927e-10,2.289916e-10,2.281396e-10
191.0,1.853867e-10,1.835421e-10,2.271586e-10,2.145851e-10
191.5,2.408733e-10,1.927187e-10,2.210118e-10,2.347011e-10
192.0,2.278704e-10,1.930952e-10,2.244688e-10,2.254762e-10
192.5,2.103056e-10,1.908669e-10,2.408646e-10,1.739465e-10
