Hz,113NE,113NW,113SW,113M,113SE
144.5,2.977529e-10,3.200569e-10,2.546806e-10,6.108576e-10,4.984658e-10
145.0,3.14351e-10,2.916705e-10,2.927756e-10,6.189295e-10,6.297372e-10
145.5,2.880477e-10,3.238167e-10,3.151564e-10,5.139827e-10,6.547581e-10
146.0,3.034293e-10,3.080433e-10,2.978865e-10,4.69035e-10,6.560806e-10
146.5,2.929499e-10,2.248638e-10,2.908601e-10,4.671921e-10,6.418786e-10
147.0,2.949562e-10,2.687299e-10,2.715754e-10,4.948021e-10,5.685241e-10
147.5,2.989995e-10,3.066268e-10,3.205411e-10,4.116873e-10,4.748955e-10
148.0,2.680505e-10,2.57544e-10,2.989045e-10,3.772263e-10,5.2508e-10
148.5,2.602719e-10,3.042984e-10,2.420943e-10,4.025597e-10,5.874097e-10
149.0,2.70213e-10,3.277826e-10,2.693188e-10,3.448224e-10,5.640661e-10
149.5,3.003471e-10,2.725572e-10,2.945857e-10,3.380801e-10,4.377648e-10
150.0,3.334103e-10,2.693033e-10,2.551737e-10,3.048932e-10,3.950763e-10
150.5,3.055972e-10,2.695377e-10,2.562801e-10,2.984908e-10,4.509366e-10
151.0,2.590361e-10,2.937384e-10,2.665599e-10,3.138544e-10,4.957152e-10
151.5,2.428089e-10,3.286402e-10,2.681174e-10,3.253979e-10,4.619933e-10
152.0,2.656446e-10,3.074157e-10,2.449925e-10,3.25598e-10,3.839233e-10
152.5,2.503089e-10,2.865014e-10,2.461894e-10,3.018861e-10,3.625296e-10
153.0,2.700714e-10,3.134166e-10,2.788505e-10,2.817185e-10,3.54291e-10
153.5,2.988855e-10,2.988124e-10,2.808068e-10,2.748172e-10,3.877427e-10
154.0,2.48578e-10,3.141754e-10,2.700442e-10,2.777282e-10,3.615431e-10
154.5,2.70336e-10,3.642546e-10,2.36629e-10,2.681971e-10,3.185573e-10
155.0,3.021883e-10,3.406158e-10,2.628511e-10,2.58105e-10,2.968692e-10
155.5,3.014463e-10,3.575883e-10,2.74412e-10,2.877349e-10,3.096687e-10
156.0,2.735362e-10,4.224001e-10,2.251165e-10,3.080188e-10,3.277656e-10
156.5,2.618098e-10,3.940052e-10,2.5624e-10,3.094719e-10,2.731772e-10
157.0,2.597368e-10,3.633616e-10,3.144016e-10,3.10466e-10,2.818235e-10
